Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
10/5/2024,71575610020,,BLACKBERRIES 6 oz,$5.99,$3.63,39.48%,6,6,4,PRODUCE,FRUTAS,BLACKBERRIES
10/6/2024,71575610020,,BLACKBERRIES 6 oz,$5.99,$3.63,39.48%,15,15,6,PRODUCE,FRUTAS,BLACKBERRIES
10/7/2024,71575610020,,BLACKBERRIES 6 oz,$5.99,$3.63,39.48%,13,12,6,PRODUCE,FRUTAS,BLACKBERRIES
10/8/2024,71575610020,,BLACKBERRIES 6 oz,$5.99,$3.63,39.48%,9,8,7,PRODUCE,FRUTAS,BLACKBERRIES
10/7/2024,20537900000,,CANTALOUPE CON FRESAS ud,$2.99,$1.59,46.82%,1,1,,PRODUCE,FRUTAS,CANTALOUPE
10/8/2024,20537900000,,CANTALOUPE CON FRESAS ud,$2.99,$1.59,46.82%,1,1,,PRODUCE,FRUTAS,CANTALOUPE
10/2/2024,20513700000,,CANTALOUPE MELON EN MITADES ud,$2.29,$1.33,41.78%,5,5,3,PRODUCE,FRUTAS,CANTALOUPE
10/3/2024,20513700000,,CANTALOUPE MELON EN MITADES ud,$2.29,$1.33,41.78%,2,2,,PRODUCE,FRUTAS,CANTALOUPE
10/4/2024,20513700000,,CANTALOUPE MELON EN MITADES ud,$2.29,$1.33,41.78%,3,3,1,PRODUCE,FRUTAS,CANTALOUPE
10/5/2024,20513700000,,CANTALOUPE MELON EN MITADES ud,$2.29,$1.33,41.78%,1,1,,PRODUCE,FRUTAS,CANTALOUPE
10/6/2024,20513700000,,CANTALOUPE MELON EN MITADES ud,$2.29,$1.33,41.78%,3,2,1,PRODUCE,FRUTAS,CANTALOUPE
10/7/2024,20513700000,,CANTALOUPE MELON EN MITADES ud,$2.29,$1.33,41.78%,3,3,2,PRODUCE,FRUTAS,CANTALOUPE
10/8/2024,20513700000,,CANTALOUPE MELON EN MITADES ud,$2.29,$1.33,41.78%,3,3,1,PRODUCE,FRUTAS,CANTALOUPE
10/2/2024,5137,,CANTALOUPE MELON ud,$3.29,$2.92,11.35%,13,12,9,PRODUCE,FRUTAS,CANTALOUPE
10/3/2024,5137,,CANTALOUPE MELON ud,$3.29,$2.92,11.35%,7,7,7,PRODUCE,FRUTAS,CANTALOUPE
10/4/2024,5137,,CANTALOUPE MELON ud,$3.29,$2.92,11.35%,11,11,7,PRODUCE,FRUTAS,CANTALOUPE
10/5/2024,5137,,CANTALOUPE MELON ud,$3.29,$2.92,11.35%,10,10,5,PRODUCE,FRUTAS,CANTALOUPE
10/6/2024,5137,,CANTALOUPE MELON ud,$3.29,$2.92,11.35%,4,4,3,PRODUCE,FRUTAS,CANTALOUPE
10/7/2024,5137,,CANTALOUPE MELON ud,$3.29,$2.92,11.35%,5,3,3,PRODUCE,FRUTAS,CANTALOUPE
10/8/2024,5137,,CANTALOUPE MELON ud,$3.29,$2.92,11.35%,2,2,2,PRODUCE,FRUTAS,CANTALOUPE
10/2/2024,5055,,CHINA NEBO lb,$2.59,$1.74,32.73%,102,47,35,PRODUCE,FRUTAS,CHINAS
10/3/2024,5055,,CHINA NEBO lb,$2.59,$1.74,32.73%,135,50,34,PRODUCE,FRUTAS,CHINAS
10/4/2024,5055,,CHINA NEBO lb,$2.59,$1.74,32.73%,114,46,33,PRODUCE,FRUTAS,CHINAS
10/5/2024,5055,,CHINA NEBO lb,$2.59,$1.74,32.73%,68,29,15,PRODUCE,FRUTAS,CHINAS
10/6/2024,5055,,CHINA NEBO lb,$2.59,$1.74,32.73%,85,38,21,PRODUCE,FRUTAS,CHINAS
10/7/2024,5055,,CHINA NEBO lb,$2.59,$1.74,32.73%,126,50,35,PRODUCE,FRUTAS,CHINAS
10/8/2024,5055,,CHINA NEBO lb,$2.59,$1.74,32.73%,109,53,38,PRODUCE,FRUTAS,CHINAS
10/2/2024,3338311052,,CHINA VALENCIA 4 lb,$8.69,$4.58,47.26%,12,12,7,PRODUCE,FRUTAS,CHINAS
10/3/2024,3338311052,,CHINA VALENCIA 4 lb,$8.69,$4.58,47.26%,18,17,8,PRODUCE,FRUTAS,CHINAS
10/4/2024,3338311052,,CHINA VALENCIA 4 lb,$8.69,$4.58,47.26%,13,13,7,PRODUCE,FRUTAS,CHINAS
10/5/2024,3338311052,,CHINA VALENCIA 4 lb,$8.69,$4.58,47.26%,8,5,2,PRODUCE,FRUTAS,CHINAS
10/7/2024,3338311052,,CHINA VALENCIA 4 lb,$8.69,$4.58,47.26%,2,2,1,PRODUCE,FRUTAS,CHINAS
10/8/2024,3338311052,,CHINA VALENCIA 4 lb,$8.69,$4.58,47.26%,6,6,5,PRODUCE,FRUTAS,CHINAS
10/2/2024,5057,,CHINA VALENCIA lb,$1.89,$1.18,37.74%,35,14,10,PRODUCE,FRUTAS,CHINAS
10/3/2024,5057,,CHINA VALENCIA lb,$1.89,$1.18,37.74%,18,8,8,PRODUCE,FRUTAS,CHINAS
10/4/2024,5057,,CHINA VALENCIA lb,$1.89,$1.18,37.74%,20,9,4,PRODUCE,FRUTAS,CHINAS
10/5/2024,5057,,CHINA VALENCIA lb,$1.89,$1.18,37.74%,28,15,7,PRODUCE,FRUTAS,CHINAS
10/6/2024,5057,,CHINA VALENCIA lb,$1.89,$1.18,37.74%,10,6,5,PRODUCE,FRUTAS,CHINAS
10/7/2024,5057,,CHINA VALENCIA lb,$1.89,$1.18,37.74%,25,13,4,PRODUCE,FRUTAS,CHINAS
10/8/2024,5057,,CHINA VALENCIA lb,$1.89,$1.18,37.74%,18,9,5,PRODUCE,FRUTAS,CHINAS
10/2/2024,5119,,CHINAS MANDARINAS lb,$2.99,$1.58,47.07%,93,63,44,PRODUCE,FRUTAS,MANDARINAS
10/3/2024,5119,,CHINAS MANDARINAS lb,$2.99,$1.58,47.07%,65,46,27,PRODUCE,FRUTAS,MANDARINAS
10/4/2024,5119,,CHINAS MANDARINAS lb,$2.99,$1.58,47.07%,71,54,32,PRODUCE,FRUTAS,MANDARINAS
