Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
10/9/2024,88233801009,BILBAO,BILBAO FILETE DE ABADEJO 7 oz,$2.49,$1.62,34.99%,27,18,12,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/10/2024,88233801009,BILBAO,BILBAO FILETE DE ABADEJO 7 oz,$2.49,$1.62,34.99%,20,16,11,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/11/2024,88233801009,BILBAO,BILBAO FILETE DE ABADEJO 7 oz,$2.49,$1.62,34.99%,9,6,5,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/12/2024,88233801009,BILBAO,BILBAO FILETE DE ABADEJO 7 oz,$2.49,$1.62,34.99%,16,11,9,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/13/2024,88233801009,BILBAO,BILBAO FILETE DE ABADEJO 7 oz,$2.49,$1.62,34.99%,16,13,10,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/14/2024,88233801009,BILBAO,BILBAO FILETE DE ABADEJO 7 oz,$2.49,$1.62,34.99%,17,13,8,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/15/2024,88233801009,BILBAO,BILBAO FILETE DE ABADEJO 7 oz,$2.49,$1.62,34.99%,19,16,11,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/9/2024,70893800875,ECONO,ECONO FILETE DE ABADEJO 12 oz,$3.99,$2.10,47.32%,247,149,109,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/10/2024,70893800875,ECONO,ECONO FILETE DE ABADEJO 12 oz,$3.99,$2.10,47.32%,40,32,27,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/11/2024,70893800875,ECONO,ECONO FILETE DE ABADEJO 12 oz,$3.99,$2.10,47.32%,76,52,33,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/12/2024,70893800875,ECONO,ECONO FILETE DE ABADEJO 12 oz,$3.99,$2.10,47.32%,50,40,30,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/13/2024,70893800875,ECONO,ECONO FILETE DE ABADEJO 12 oz,$3.99,$2.10,47.32%,37,27,14,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/14/2024,70893800875,ECONO,ECONO FILETE DE ABADEJO 12 oz,$3.99,$2.10,47.32%,55,46,31,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/15/2024,70893800875,ECONO,ECONO FILETE DE ABADEJO 12 oz,$3.99,$2.10,47.32%,45,32,22,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/9/2024,70893800876,ECONO,ECONO FILETE DE ABADEJO 16 oz,$4.99,$2.14,57.02%,21,16,11,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/10/2024,70893800876,ECONO,ECONO FILETE DE ABADEJO 16 oz,$4.99,$2.14,57.02%,37,32,19,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/11/2024,70893800876,ECONO,ECONO FILETE DE ABADEJO 16 oz,$4.99,$2.14,57.02%,27,24,17,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/12/2024,70893800876,ECONO,ECONO FILETE DE ABADEJO 16 oz,$4.99,$2.14,57.02%,35,29,19,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/13/2024,70893800876,ECONO,ECONO FILETE DE ABADEJO 16 oz,$4.99,$2.14,57.02%,16,15,8,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
10/14/2024,70893800876,ECONO,ECONO FILETE DE ABADEJO 16 oz,$4.99,$2.14,57.02%,58,45,35,MEAT,SALADOS POR UPC,FILETE DE ABADEJO
