Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
10/17/2024,5055,,CHINA NEBO lb,$2.89,$1.85,36.04%,86,42,24,PRODUCE,FRUTAS,CHINAS
10/18/2024,5055,,CHINA NEBO lb,$2.89,$1.85,36.04%,98,41,27,PRODUCE,FRUTAS,CHINAS
10/21/2024,5055,,CHINA NEBO lb,$2.89,$1.85,36.04%,102,44,30,PRODUCE,FRUTAS,CHINAS
10/16/2024,5055,,CHINA NEBO lb,$2.89,$1.85,36.04%,123,54,40,PRODUCE,FRUTAS,CHINAS
10/22/2024,5055,,CHINA NEBO lb,$2.89,$1.85,36.04%,124,58,45,PRODUCE,FRUTAS,CHINAS
10/19/2024,5055,,CHINA NEBO lb,$2.89,$1.85,36.04%,157,60,40,PRODUCE,FRUTAS,CHINAS
10/21/2024,5057,,CHINA VALENCIA lb,$1.89,$1.10,41.86%,11,8,4,PRODUCE,FRUTAS,CHINAS
10/22/2024,5057,,CHINA VALENCIA lb,$1.89,$1.10,41.86%,17,8,5,PRODUCE,FRUTAS,CHINAS
10/20/2024,5057,,CHINA VALENCIA lb,$1.89,$1.10,41.86%,17,7,5,PRODUCE,FRUTAS,CHINAS
10/16/2024,5057,,CHINA VALENCIA lb,$1.89,$1.10,41.86%,18,8,3,PRODUCE,FRUTAS,CHINAS
10/18/2024,5057,,CHINA VALENCIA lb,$1.89,$1.10,41.86%,18,9,4,PRODUCE,FRUTAS,CHINAS
10/19/2024,5057,,CHINA VALENCIA lb,$1.89,$1.10,41.86%,26,11,4,PRODUCE,FRUTAS,CHINAS
10/17/2024,5057,,CHINA VALENCIA lb,$1.89,$1.10,41.86%,32,13,7,PRODUCE,FRUTAS,CHINAS
10/16/2024,5065,,CIRUELAS lb,$2.69,$1.79,33.62%,60,62,38,PRODUCE,FRUTAS,CIRUELAS
10/22/2024,5065,,CIRUELAS lb,$2.69,$1.79,33.62%,84,83,54,PRODUCE,FRUTAS,CIRUELAS
10/20/2024,5065,,CIRUELAS lb,$2.69,$1.79,33.62%,101,96,69,PRODUCE,FRUTAS,CIRUELAS
10/17/2024,5065,,CIRUELAS lb,$2.69,$1.79,33.62%,108,102,69,PRODUCE,FRUTAS,CIRUELAS
10/19/2024,5065,,CIRUELAS lb,$2.69,$1.79,33.62%,108,108,70,PRODUCE,FRUTAS,CIRUELAS
10/21/2024,5065,,CIRUELAS lb,$2.69,$1.79,33.62%,115,118,83,PRODUCE,FRUTAS,CIRUELAS
10/18/2024,5065,,CIRUELAS lb,$2.69,$1.79,33.62%,136,141,97,PRODUCE,FRUTAS,CIRUELAS
10/16/2024,5069,COCONUT,COCONUT COCO SECO ud,$2.50,$1.08,57.00%,2,2,1,PRODUCE,FRUTAS,FRUTAS FRESCAS
10/18/2024,5069,COCONUT,COCONUT COCO SECO ud,$2.50,$1.08,57.00%,2,1,,PRODUCE,FRUTAS,FRUTAS FRESCAS
10/19/2024,5069,COCONUT,COCONUT COCO SECO ud,$2.50,$1.08,57.00%,2,1,1,PRODUCE,FRUTAS,FRUTAS FRESCAS
10/22/2024,5069,COCONUT,COCONUT COCO SECO ud,$2.50,$1.08,57.00%,9,5,,PRODUCE,FRUTAS,FRUTAS FRESCAS
10/17/2024,5084,POMEGRANATE,POMEGRANATE GRANADA FRESCA lb,$4.99,$2.52,49.50%,0,2,1,PRODUCE,FRUTAS,FRUTAS FRESCAS
10/18/2024,5084,POMEGRANATE,POMEGRANATE GRANADA FRESCA lb,$4.99,$2.52,49.50%,0,1,1,PRODUCE,FRUTAS,FRUTAS FRESCAS
10/20/2024,5084,POMEGRANATE,POMEGRANATE GRANADA FRESCA lb,$4.99,$2.52,49.50%,2,1,1,PRODUCE,FRUTAS,FRUTAS FRESCAS
