Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
11/6/2024,83104100301,,NUMAR FILETE DE TILAPIA 2 LB 2 lb,$9.99,$7.18,28.13%,4,3,3,MEAT,MARISCOS POR UPC,FILETE DE TILAPIA
11/7/2024,83104100301,,NUMAR FILETE DE TILAPIA 2 LB 2 lb,$9.99,$7.18,28.13%,3,3,2,MEAT,MARISCOS POR UPC,FILETE DE TILAPIA
11/8/2024,83104100301,,NUMAR FILETE DE TILAPIA 2 LB 2 lb,$9.99,$7.18,28.13%,1,1,1,MEAT,MARISCOS POR UPC,FILETE DE TILAPIA
11/10/2024,83104100301,,NUMAR FILETE DE TILAPIA 2 LB 2 lb,$9.99,$7.18,28.13%,2,2,2,MEAT,MARISCOS POR UPC,FILETE DE TILAPIA
11/11/2024,83104100301,,NUMAR FILETE DE TILAPIA 2 LB 2 lb,$9.99,$7.18,28.13%,3,3,2,MEAT,MARISCOS POR UPC,FILETE DE TILAPIA
11/7/2024,2265570183,BUTTERBALL,BUTTERBALL MOLIDA DE PAVO 1 lb,$4.59,$2.75,40.09%,2,2,2,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/8/2024,2265570183,BUTTERBALL,BUTTERBALL MOLIDA DE PAVO 1 lb,$4.59,$2.75,40.09%,1,1,1,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/11/2024,2265570183,BUTTERBALL,BUTTERBALL MOLIDA DE PAVO 1 lb,$4.59,$2.75,40.09%,1,1,1,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/12/2024,2265570183,BUTTERBALL,BUTTERBALL MOLIDA DE PAVO 1 lb,$4.59,$2.75,40.09%,8,6,3,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/6/2024,2265570140,CAROLINA TURKEY,CAROLINA TURKEY MOLIDA DE PAVO 85 15 16 oz,$4.99,$3.40,31.86%,11,7,6,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/7/2024,2265570140,CAROLINA TURKEY,CAROLINA TURKEY MOLIDA DE PAVO 85 15 16 oz,$4.99,$3.40,31.86%,9,6,4,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/8/2024,2265570140,CAROLINA TURKEY,CAROLINA TURKEY MOLIDA DE PAVO 85 15 16 oz,$4.99,$3.40,31.86%,5,3,2,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/9/2024,2265570140,CAROLINA TURKEY,CAROLINA TURKEY MOLIDA DE PAVO 85 15 16 oz,$4.99,$3.40,31.86%,8,5,3,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/10/2024,2265570140,CAROLINA TURKEY,CAROLINA TURKEY MOLIDA DE PAVO 85 15 16 oz,$4.99,$3.40,31.86%,3,3,2,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/11/2024,2265570140,CAROLINA TURKEY,CAROLINA TURKEY MOLIDA DE PAVO 85 15 16 oz,$4.99,$3.40,31.86%,7,5,4,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/12/2024,2265570140,CAROLINA TURKEY,CAROLINA TURKEY MOLIDA DE PAVO 85 15 16 oz,$4.99,$3.40,31.86%,5,4,2,MEAT,OTRAS AVES UPC,MOLIDA DE PAVO
11/6/2024,70893802309,ECONO,ECONO BREADED CHICKEN NUGGETS 3 lb,$7.99,$5.17,35.27%,5,5,4,MEAT,EMPANADOS POR UPC,EMPANADO DE POLLO POR UPC
11/7/2024,70893802309,ECONO,ECONO BREADED CHICKEN NUGGETS 3 lb,$7.99,$5.17,35.27%,3,3,1,MEAT,EMPANADOS POR UPC,EMPANADO DE POLLO POR UPC
11/8/2024,70893802309,ECONO,ECONO BREADED CHICKEN NUGGETS 3 lb,$7.99,$5.17,35.27%,7,7,5,MEAT,EMPANADOS POR UPC,EMPANADO DE POLLO POR UPC
11/9/2024,70893802309,ECONO,ECONO BREADED CHICKEN NUGGETS 3 lb,$7.99,$5.17,35.27%,5,5,5,MEAT,EMPANADOS POR UPC,EMPANADO DE POLLO POR UPC
11/6/2024,70893800961,ECONO,ECONO CAMARONES CRUDOS 16 20 12 oz,$5.99,$3.23,46.10%,1,1,1,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/8/2024,70893800961,ECONO,ECONO CAMARONES CRUDOS 16 20 12 oz,$5.99,$3.23,46.10%,1,1,1,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/6/2024,70893801118,ECONO,ECONO CAMARONES CRUDOS 8 12 12 oz,$7.99,$4.49,43.84%,3,2,1,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/7/2024,70893801118,ECONO,ECONO CAMARONES CRUDOS 8 12 12 oz,$7.99,$4.49,43.84%,4,2,,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/8/2024,70893801118,ECONO,ECONO CAMARONES CRUDOS 8 12 12 oz,$7.99,$4.49,43.84%,7,5,3,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/9/2024,70893801118,ECONO,ECONO CAMARONES CRUDOS 8 12 12 oz,$7.99,$4.49,43.84%,2,1,,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/10/2024,70893801118,ECONO,ECONO CAMARONES CRUDOS 8 12 12 oz,$7.99,$4.49,43.84%,1,1,1,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/11/2024,70893801118,ECONO,ECONO CAMARONES CRUDOS 8 12 12 oz,$7.99,$4.49,43.84%,2,2,1,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
11/12/2024,70893801118,ECONO,ECONO CAMARONES CRUDOS 8 12 12 oz,$7.99,$4.49,43.84%,2,1,1,MEAT,MARISCOS POR UPC,CAMARONES CRUDO
