Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
9/18/2024,83104100301,,NUMAR FILETE DE TILAPIA 2 LB 2 lb,$9.99,$7.00,29.98%,1,1,,MEAT,MARISCOS POR UPC,FILETE DE TILAPIA
9/18/2024,87866500013,ANGELS GATE,ANGELS GATE CALAMARES CONG 1 lb,$4.90,$3.29,32.86%,1,1,1,MEAT,MARISCOS POR UPC,CALAMARES CONG
9/20/2024,87866500013,ANGELS GATE,ANGELS GATE CALAMARES CONG 1 lb,$4.90,$3.29,32.86%,2,2,,MEAT,MARISCOS POR UPC,CALAMARES CONG
9/21/2024,87866500013,ANGELS GATE,ANGELS GATE CALAMARES CONG 1 lb,$4.90,$3.29,32.86%,1,1,,MEAT,MARISCOS POR UPC,CALAMARES CONG
9/22/2024,87866500013,ANGELS GATE,ANGELS GATE CALAMARES CONG 1 lb,$4.90,$3.29,32.86%,1,1,1,MEAT,MARISCOS POR UPC,CALAMARES CONG
9/23/2024,87866500013,ANGELS GATE,ANGELS GATE CALAMARES CONG 1 lb,$4.90,$3.29,32.86%,1,1,1,MEAT,MARISCOS POR UPC,CALAMARES CONG
9/19/2024,87866500012,ANGELS GATE,ANGELS GATE CALAMARES CONGELADOS 3 lb,$16.49,$11.85,28.14%,1,1,,MEAT,MARISCOS POR UPC,CALAMARES CONG
9/20/2024,87866500012,ANGELS GATE,ANGELS GATE CALAMARES CONGELADOS 3 lb,$16.49,$11.85,28.14%,2,2,1,MEAT,MARISCOS POR UPC,CALAMARES CONG
9/18/2024,8710912002468,BUONO,BUONO QUESO DE BOLA TIERNO BABY 29 oz,$14.99,$10.53,29.79%,3,2,1,MEAT,MARISCOS POR UPC,QUESO DE BOLA
9/20/2024,8710912002468,BUONO,BUONO QUESO DE BOLA TIERNO BABY 29 oz,$14.99,$10.53,29.79%,2,2,1,MEAT,MARISCOS POR UPC,QUESO DE BOLA
9/21/2024,8710912002468,BUONO,BUONO QUESO DE BOLA TIERNO BABY 29 oz,$14.99,$10.53,29.79%,2,2,1,MEAT,MARISCOS POR UPC,QUESO DE BOLA
