Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
9/26/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,4,4,4,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
9/27/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,5,5,2,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
9/28/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,5,3,2,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
9/29/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,1,1,,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
9/30/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,3,3,1,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
10/1/2024,7468339191531,AVIVA,AVIVA EXPORT SODA PLASTICA 19 oz,$4.99,$3.42,31.53%,3,3,3,GROCERY FOOD,GALLETAS,PRODUCTO DE SHOPPER GROCERY
9/25/2024,7468339190350,AVIVA,AVIVA EXPORT SODA SALTINA 9.54 oz,$2.29,$1.54,32.68%,6,5,2,GROCERY FOOD,GALLETAS,EXPORT SODA
9/26/2024,7468339190350,AVIVA,AVIVA EXPORT SODA SALTINA 9.54 oz,$2.29,$1.54,32.68%,12,8,5,GROCERY FOOD,GALLETAS,EXPORT SODA
9/27/2024,7468339190350,AVIVA,AVIVA EXPORT SODA SALTINA 9.54 oz,$2.29,$1.54,32.68%,4,4,2,GROCERY FOOD,GALLETAS,EXPORT SODA
9/28/2024,7468339190350,AVIVA,AVIVA EXPORT SODA SALTINA 9.54 oz,$2.29,$1.54,32.68%,3,3,3,GROCERY FOOD,GALLETAS,EXPORT SODA
9/29/2024,7468339190350,AVIVA,AVIVA EXPORT SODA SALTINA 9.54 oz,$2.29,$1.54,32.68%,1,1,1,GROCERY FOOD,GALLETAS,EXPORT SODA
9/30/2024,7468339190350,AVIVA,AVIVA EXPORT SODA SALTINA 9.54 oz,$2.29,$1.54,32.68%,9,9,4,GROCERY FOOD,GALLETAS,EXPORT SODA
10/1/2024,7468339190350,AVIVA,AVIVA EXPORT SODA SALTINA 9.54 oz,$2.29,$1.54,32.68%,10,8,3,GROCERY FOOD,GALLETAS,EXPORT SODA
9/25/2024,7467340330700,AVIVA,AVIVA SODA CRACKER FLOW PACK 8.26 oz,$1.39,$0.99,29.11%,24,21,13,GROCERY FOOD,GALLETAS,EXPORT SODA
9/26/2024,7467340330700,AVIVA,AVIVA SODA CRACKER FLOW PACK 8.26 oz,$1.39,$0.99,29.11%,30,22,14,GROCERY FOOD,GALLETAS,EXPORT SODA
9/27/2024,7467340330700,AVIVA,AVIVA SODA CRACKER FLOW PACK 8.26 oz,$1.39,$0.99,29.11%,22,18,12,GROCERY FOOD,GALLETAS,EXPORT SODA
9/28/2024,7467340330700,AVIVA,AVIVA SODA CRACKER FLOW PACK 8.26 oz,$1.39,$0.99,29.11%,14,10,7,GROCERY FOOD,GALLETAS,EXPORT SODA
9/29/2024,7467340330700,AVIVA,AVIVA SODA CRACKER FLOW PACK 8.26 oz,$1.39,$0.99,29.11%,15,12,9,GROCERY FOOD,GALLETAS,EXPORT SODA
9/30/2024,7467340330700,AVIVA,AVIVA SODA CRACKER FLOW PACK 8.26 oz,$1.39,$0.99,29.11%,23,20,16,GROCERY FOOD,GALLETAS,EXPORT SODA
10/1/2024,7467340330700,AVIVA,AVIVA SODA CRACKER FLOW PACK 8.26 oz,$1.39,$0.99,29.11%,31,24,17,GROCERY FOOD,GALLETAS,EXPORT SODA
9/25/2024,87575400831,BAUDUCCO,BAUDUCCO CHOCOLATE WAFER 5 oz,$0.99,$0.75,24.24%,7,6,5,GROCERY FOOD,GALLETAS,WAFFERS
9/26/2024,87575400831,BAUDUCCO,BAUDUCCO CHOCOLATE WAFER 5 oz,$0.99,$0.75,24.24%,9,6,4,GROCERY FOOD,GALLETAS,WAFFERS
9/27/2024,87575400831,BAUDUCCO,BAUDUCCO CHOCOLATE WAFER 5 oz,$0.99,$0.75,24.24%,8,4,4,GROCERY FOOD,GALLETAS,WAFFERS
9/28/2024,87575400831,BAUDUCCO,BAUDUCCO CHOCOLATE WAFER 5 oz,$0.99,$0.75,24.24%,18,11,6,GROCERY FOOD,GALLETAS,WAFFERS
9/29/2024,87575400831,BAUDUCCO,BAUDUCCO CHOCOLATE WAFER 5 oz,$0.99,$0.75,24.24%,11,5,2,GROCERY FOOD,GALLETAS,WAFFERS
9/30/2024,87575400831,BAUDUCCO,BAUDUCCO CHOCOLATE WAFER 5 oz,$0.99,$0.75,24.24%,12,9,6,GROCERY FOOD,GALLETAS,WAFFERS
10/1/2024,87575400831,BAUDUCCO,BAUDUCCO CHOCOLATE WAFER 5 oz,$0.99,$0.75,24.24%,2,2,2,GROCERY FOOD,GALLETAS,WAFFERS
9/25/2024,87575400829,BAUDUCCO,BAUDUCCO STRAWBERRY WAFER 5 oz,$0.99,$0.75,24.24%,5,4,4,GROCERY FOOD,GALLETAS,WAFFERS
9/26/2024,87575400829,BAUDUCCO,BAUDUCCO STRAWBERRY WAFER 5 oz,$0.99,$0.75,24.24%,10,7,6,GROCERY FOOD,GALLETAS,WAFFERS
9/28/2024,87575400829,BAUDUCCO,BAUDUCCO STRAWBERRY WAFER 5 oz,$0.99,$0.75,24.24%,2,2,,GROCERY FOOD,GALLETAS,WAFFERS
9/29/2024,87575400829,BAUDUCCO,BAUDUCCO STRAWBERRY WAFER 5 oz,$0.99,$0.75,24.24%,4,4,2,GROCERY FOOD,GALLETAS,WAFFERS
9/30/2024,87575400829,BAUDUCCO,BAUDUCCO STRAWBERRY WAFER 5 oz,$0.99,$0.75,24.24%,5,3,3,GROCERY FOOD,GALLETAS,WAFFERS
10/1/2024,87575400829,BAUDUCCO,BAUDUCCO STRAWBERRY WAFER 5 oz,$0.99,$0.75,24.24%,4,4,3,GROCERY FOOD,GALLETAS,WAFFERS
9/25/2024,87575400830,BAUDUCCO,BAUDUCCO VANILLA WAFER 5 oz,$0.99,$0.75,24.24%,9,7,7,GROCERY FOOD,GALLETAS,WAFFERS
9/26/2024,87575400830,BAUDUCCO,BAUDUCCO VANILLA WAFER 5 oz,$0.99,$0.75,24.24%,8,7,6,GROCERY FOOD,GALLETAS,WAFFERS
9/27/2024,87575400830,BAUDUCCO,BAUDUCCO VANILLA WAFER 5 oz,$0.99,$0.75,24.24%,5,4,3,GROCERY FOOD,GALLETAS,WAFFERS
9/28/2024,87575400830,BAUDUCCO,BAUDUCCO VANILLA WAFER 5 oz,$0.99,$0.75,24.24%,30,5,3,GROCERY FOOD,GALLETAS,WAFFERS
9/29/2024,87575400830,BAUDUCCO,BAUDUCCO VANILLA WAFER 5 oz,$0.99,$0.75,24.24%,7,5,2,GROCERY FOOD,GALLETAS,WAFFERS
9/30/2024,87575400830,BAUDUCCO,BAUDUCCO VANILLA WAFER 5 oz,$0.99,$0.75,24.24%,4,3,2,GROCERY FOOD,GALLETAS,WAFFERS
10/1/2024,87575400830,BAUDUCCO,BAUDUCCO VANILLA WAFER 5 oz,$0.99,$0.75,24.24%,7,7,5,GROCERY FOOD,GALLETAS,WAFFERS
9/30/2024,6334801500,BEAR PAWS,BEAR PAWS CRUNCHY VANILLA SPRINKLE 240 gr,$4.69,$3.50,25.37%,1,1,1,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/25/2024,4400002828,BELVITA,BELVITA BREAKFAST BLUEBERRY 1.76 oz,$1.09,$0.64,41.01%,5,4,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/26/2024,4400002828,BELVITA,BELVITA BREAKFAST BLUEBERRY 1.76 oz,$1.09,$0.64,41.01%,6,5,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/27/2024,4400002828,BELVITA,BELVITA BREAKFAST BLUEBERRY 1.76 oz,$1.09,$0.64,41.01%,6,4,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/28/2024,4400002828,BELVITA,BELVITA BREAKFAST BLUEBERRY 1.76 oz,$1.09,$0.64,41.01%,3,2,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/29/2024,4400002828,BELVITA,BELVITA BREAKFAST BLUEBERRY 1.76 oz,$1.09,$0.64,41.01%,1,1,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/30/2024,4400002828,BELVITA,BELVITA BREAKFAST BLUEBERRY 1.76 oz,$1.09,$0.64,41.01%,2,2,,GROCERY FOOD,GALLETAS,GALLETAS AVENA
10/1/2024,4400002828,BELVITA,BELVITA BREAKFAST BLUEBERRY 1.76 oz,$1.09,$0.64,41.01%,9,6,5,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/25/2024,4400002829,BELVITA,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,$4.79,$3.00,37.41%,2,2,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/26/2024,4400002829,BELVITA,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,$4.79,$3.00,37.41%,3,3,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/27/2024,4400002829,BELVITA,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,$4.79,$3.00,37.41%,5,5,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/28/2024,4400002829,BELVITA,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,$4.79,$3.00,37.41%,5,5,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/29/2024,4400002829,BELVITA,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,$4.79,$3.00,37.41%,3,3,,GROCERY FOOD,GALLETAS,GALLETAS AVENA
